stateFips,area,areaType,period,periodYear,periodType,periodTypeDescription,cpi,title,type,source,cpiSourceDescription,percentChangeYear,percentChangeMonth,dataRegion,areaName
0,0,0,0,2008,1,Annual,215.3,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.8,,US,United States
0,0,0,1,2008,3,Monthly,211.1,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",4.3,0.5,US,United States
0,0,0,1,2008,3,Monthly,212.5,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",4.4,0.4,US,United States
0,0,0,1,2008,3,Monthly,206.7,"CPI-W all items 1982-84=100, not seasonally adjusted",3,1,"US DOL, Bureau of Labor Statistics",4.6,0.5,US,United States
0,0,0,1,2008,3,Monthly,208.3,"CPI-W all items 1982-84=100, seasonally adjusted",4,1,"US DOL, Bureau of Labor Statistics",4.8,0.4,US,United States
0,0,0,2,2008,3,Monthly,207.3,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",4.4,0.2,US,United States
0,0,0,2,2008,3,Monthly,212.6,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",4.1,0,US,United States
0,0,0,2,2008,3,Monthly,207.3,"CPI-W all items 1982-84=100, not seasonally adjusted",3,1,"US DOL, Bureau of Labor Statistics",4.4,0.2,US,United States
0,0,0,2,2008,3,Monthly,208.3,"CPI-W all items 1982-84=100, seasonally adjusted",4,1,"US DOL, Bureau of Labor Statistics",4.5,0,US,United States
0,0,0,3,2008,3,Monthly,209.1,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",4.3,0.9,US,United States
0,0,0,3,2008,3,Monthly,213.3,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",4,0.3,US,United States
0,0,0,3,2008,3,Monthly,209.1,"CPI-W all items 1982-84=100, not seasonally adjusted",3,1,"US DOL, Bureau of Labor Statistics",4.3,0.9,US,United States
